case_id,event_cluster_id,case_path,local_asset_id,source_count,verification_status
CASE-027,EVT-02_2008津巴布韦恶性通胀,案例库/货币崩溃篇/02_2008津巴布韦恶性通胀/案例档案.md,LCL-0030,5,SOURCE_LINKS_INDEXED
CASE-028,EVT-VEN-2015-2021-FX,案例库/货币崩溃篇/03_2015-2021委内瑞拉玻利瓦尔/案例档案.md,LCL-0031,8,SOURCE_LINKS_INDEXED
CASE-029,EVT-TUR-2018-FX,案例库/货币崩溃篇/04_2018土耳其里拉危机/案例档案.md,LCL-0032,8,SOURCE_LINKS_INDEXED
CASE-030,EVT-05_2019-2023黎巴嫩镑崩溃,案例库/货币崩溃篇/05_2019-2023黎巴嫩镑崩溃/案例档案.md,LCL-0033,7,SOURCE_LINKS_INDEXED
CASE-031,EVT-06_2022-2024尼日利亚奈拉崩溃,案例库/货币崩溃篇/06_2022-2024尼日利亚奈拉崩溃/案例档案.md,LCL-0034,9,SOURCE_LINKS_INDEXED
CASE-032,EVT-07_2022-2024埃及镑贬值,案例库/货币崩溃篇/07_2022-2024埃及镑贬值/案例档案.md,LCL-0035,9,SOURCE_LINKS_INDEXED
CASE-033,EVT-08_2010-2025伊朗里亚尔,案例库/货币崩溃篇/08_2010-2025伊朗里亚尔/案例档案.md,LCL-0036,9,SOURCE_LINKS_INDEXED
CASE-034,EVT-09_2023-2024阿根廷比索危机,案例库/货币崩溃篇/09_2023-2024阿根廷比索危机/案例档案.md,LCL-0037,8,SOURCE_LINKS_INDEXED
CASE-035,EVT-RUS-1998,案例库/货币崩溃篇/10_1998俄罗斯卢布危机/案例档案.md,LCL-0038,4,SOURCE_LINKS_INDEXED
CASE-036,EVT-01_MTN尼日利亚,案例库/微观企业篇/01_MTN尼日利亚/案例档案.md,LCL-0039,7,SOURCE_LINKS_INDEXED
CASE-037,EVT-02_雀巢尼日利亚,案例库/微观企业篇/02_雀巢尼日利亚/案例档案.md,LCL-0040,8,SOURCE_LINKS_INDEXED
CASE-038,EVT-03_ABINBEV阿根廷,案例库/微观企业篇/03_ABInBev阿根廷/案例档案.md,LCL-0041,6,SOURCE_LINKS_INDEXED
CASE-039,EVT-04_传音控股,案例库/微观企业篇/04_传音控股/案例档案.md,LCL-0042,4,SOURCE_LINKS_INDEXED
CASE-040,EVT-05_华为,案例库/微观企业篇/05_华为/案例档案.md,LCL-0043,3,SOURCE_LINKS_INDEXED
CASE-041,EVT-06_雷诺法兴俄罗斯退出,案例库/微观企业篇/06_雷诺法兴俄罗斯退出/案例档案.md,LCL-0044,5,SOURCE_LINKS_INDEXED
CASE-042,EVT-07_IATA航司被困资金,案例库/微观企业篇/07_IATA航司被困资金/案例档案.md,LCL-0045,6,SOURCE_LINKS_INDEXED
CASE-043,EVT-08_PALANTIR黑天鹅黄金,案例库/微观企业篇/08_Palantir黑天鹅黄金/案例档案.md,LCL-0046,6,SOURCE_LINKS_INDEXED
CASE-044,EVT-09_TETHER黄金储备,案例库/微观企业篇/09_Tether黄金储备/案例档案.md,LCL-0047,5,SOURCE_LINKS_INDEXED
CASE-045,EVT-10_中国黄金会计错配_反面,案例库/微观企业篇/10_中国黄金会计错配_反面/案例档案.md,LCL-0048,5,SOURCE_LINKS_INDEXED
