"work_item_id","stage","status","evidence_path","evidence_sha256","completed_at","owner","next_action","acceptance_rule","blocker","dependency"
"D5","40国筛选冻结","NOT_STARTED","计划书/06_全球经济周期与亚非拉国别风险多币种储备智能决策平台总计划书_V4.1.tex#D5","bf1efe5a6006b4fbebdc91027f5cb26132c64b0f969619e539b9443d3dc3de92","NOT_APPLICABLE","B/C/A","按15/14/11、完整率和对照规则冻结样本。","G2通过且选择分数与配置哈希齐全。","D4_NOT_COMPLETE","D4"
"D6A","年度政策与资本约束","NOT_STARTED","计划书/06_全球经济周期与亚非拉国别风险多币种储备智能决策平台总计划书_V4.1.tex#D6A","bf1efe5a6006b4fbebdc91027f5cb26132c64b0f969619e539b9443d3dc3de92","NOT_APPLICABLE","B/D","从归档线索和正式来源构建country_policy_year。","年度频率、有效期、原文和人工复核状态完整。","D5_NOT_COMPLETE","D2|D5"
"D6B","20家企业披露","NOT_STARTED","计划书/06_全球经济周期与亚非拉国别风险多币种储备智能决策平台总计划书_V4.1.tex#D6B","bf1efe5a6006b4fbebdc91027f5cb26132c64b0f969619e539b9443d3dc3de92","NOT_APPLICABLE","D/B","采集20家年报并执行关键数字双复核。","量化画像满足披露资格且保留真实粒度。","ANNUAL_REPORT_DATABASE_NOT_BUILT","D2"
"D6C","资产成本与案例证据","PARTIAL_REUSABLE","调研资料归档_V1.0/03_案例库与证据/case_index.csv","70f8984bc9050d9ab51fca5a1ac0c8c5ba464455c4b428b838569febe8f7a1e9","2026-08-16","B/D/C","复用现有工作簿和45案例索引，补齐价格、成本、页码和证据角色。","案例证据已字段化复核，资产序列完整率达标。","SOURCE_LINKS_INDEXED_NOT_FULLY_VERIFIED","D2|D5|ARCHIVE-R2"
"D6D","全球周期月度数据","NOT_STARTED","计划书/06_全球经济周期与亚非拉国别风险多币种储备智能决策平台总计划书_V4.1.tex#D6D","bf1efe5a6006b4fbebdc91027f5cb26132c64b0f969619e539b9443d3dc3de92","NOT_APPLICABLE","B/C","建立1971—2025真实月度与按截至期关联的季度序列。","核心指标适用期完整率不低于90%。","GLOBAL_CYCLE_PANEL_NOT_BUILT","D2"
"D6E","历史危机制度表","PARTIAL_REUSABLE","调研资料归档_V1.0/05_全球周期与历史危机","PENDING_OR_SECTION_REFERENCE","2026-08-16","D/C/A","把17份宏观案例作为种子，完成字段化、页码和制度可比性复核。","17个锚点全部进入historical_crisis_event并通过复核。","SEEDS_EXIST_STRUCTURED_TABLE_NOT_BUILT","D2|ARCHIVE-R2"
"D7","标准化与质量门","NOT_STARTED","计划书/06_全球经济周期与亚非拉国别风险多币种储备智能决策平台总计划书_V4.1.tex#D7","bf1efe5a6006b4fbebdc91027f5cb26132c64b0f969619e539b9443d3dc3de92","NOT_APPLICABLE","B/C/D","完成11表主键、频率、单位、来源和许可QA。","G3通过且问题行进入拒绝表。","D3_D6_NOT_COMPLETE","D3|D4|D5|D6A|D6B|D6C|D6D|D6E"
"D8","国别事件识别","NOT_STARTED","计划书/06_全球经济周期与亚非拉国别风险多币种储备智能决策平台总计划书_V4.1.tex#D8","bf1efe5a6006b4fbebdc91027f5cb26132c64b0f969619e539b9443d3dc3de92","NOT_APPLICABLE","C/D","在G3数据上按冻结阈值识别并合并事件。","不少于20个独立事件且每区不少于5个。","G3_NOT_PASSED","D7"
"D8B","全球周期与历史类比","NOT_STARTED","计划书/06_全球经济周期与亚非拉国别风险多币种储备智能决策平台总计划书_V4.1.tex#D8B","bf1efe5a6006b4fbebdc91027f5cb26132c64b0f969619e539b9443d3dc3de92","NOT_APPLICABLE","C/A/D","运行多标签、主状态、复合危机和制度可比性。","预期历史阶段与无前视测试通过。","G3_NOT_PASSED","D6D|D6E|D7"
"D9","资产收益与组合情景","NOT_STARTED","计划书/06_全球经济周期与亚非拉国别风险多币种储备智能决策平台总计划书_V4.1.tex#D9","bf1efe5a6006b4fbebdc91027f5cb26132c64b0f969619e539b9443d3dc3de92","NOT_APPLICABLE","C/B/A","完成收益分解、成本、对称剔除和企业情景。","G4通过且全部结果可复算。","D8_D8B_NOT_COMPLETE","D8|D8B"
"P0","Smartbi小样门","NOT_STARTED","计划书/06_全球经济周期与亚非拉国别风险多币种储备智能决策平台总计划书_V4.1.tex#P0","bf1efe5a6006b4fbebdc91027f5cb26132c64b0f969619e539b9443d3dc3de92","NOT_APPLICABLE","A/B/D","获批后在隔离前缀下执行四表小样、五问和XML导出。","类型、连接、指标、问数和恢复证据通过。","WRITE_SCOPE_NOT_APPROVED","SMARTBI-S0|D0"
"D10","Smartbi数据包","NOT_STARTED","计划书/06_全球经济周期与亚非拉国别风险多币种储备智能决策平台总计划书_V4.1.tex#D10","bf1efe5a6006b4fbebdc91027f5cb26132c64b0f969619e539b9443d3dc3de92","NOT_APPLICABLE","B/A","导出18个数据工作簿和3个控制工作簿。","行数、主键、类型和哈希一致。","G4_P0_NOT_PASSED","D9|P0"
"D11","六页看板与AIChat","NOT_STARTED","计划书/06_全球经济周期与亚非拉国别风险多币种储备智能决策平台总计划书_V4.1.tex#D11","bf1efe5a6006b4fbebdc91027f5cb26132c64b0f969619e539b9443d3dc3de92","NOT_APPLICABLE","A/B/D","建立星座模型、六页看板和25问测试。","G5、性能、数值容差和来源追溯通过。","D10_NOT_COMPLETE","D10"
"D12","恢复报告视频提交","NOT_STARTED","计划书/06_全球经济周期与亚非拉国别风险多币种储备智能决策平台总计划书_V4.1.tex#D12","bf1efe5a6006b4fbebdc91027f5cb26132c64b0f969619e539b9443d3dc3de92","NOT_APPLICABLE","A/D/B/C","完成XML隔离恢复、分析报告、视频和最终提交包。","G6通过且提交清单、哈希、合规材料齐全。","D11_NOT_COMPLETE","D11"
