archive_asset_id,archive_run_id,acquisition_state,content_state,extraction_state,formal_use_state,evidence_grade,redistribution_scope,raw_local_path,extracted_local_path,target_table,replacement_source,next_action,revalidation_required
LCL-0046,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,03_案例库与证据/本地原件/案例库/微观企业篇/08_Palantir黑天鹅黄金/案例档案.md,,company_overseas_exposure | country_monthly_risk | country_policy_year | country_event | case_evidence,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0047,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,03_案例库与证据/本地原件/案例库/微观企业篇/09_Tether黄金储备/案例档案.md,,company_overseas_exposure | country_monthly_risk | country_policy_year | country_event | case_evidence,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0048,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,03_案例库与证据/本地原件/案例库/微观企业篇/10_中国黄金会计错配_反面/案例档案.md,,company_overseas_exposure | country_monthly_risk | country_policy_year | country_event | case_evidence,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0049,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,03_案例库与证据/本地原件/案例库/README_案例库总览.md,,company_overseas_exposure | country_monthly_risk | country_policy_year | country_event | case_evidence,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0050,20260816_research_archive_v1,ACQUIRED,DOCUMENT_LOCAL,NOT_REQUIRED,SUPPLEMENT,内部,shared,02_方案演进与调研报告/本地原件/方案整合与实施路径/方案整合与实施路径.pdf,,asset_monthly_return | case_evidence | global_cycle_month,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0051,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,02_方案演进与调研报告/本地原件/方案整合与实施路径/方案整合与实施路径.tex,,asset_monthly_return | case_evidence | global_cycle_month,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0052,20260816_research_archive_v1,ACQUIRED,DOCUMENT_LOCAL,NOT_REQUIRED,SUPPLEMENT,内部,shared,02_方案演进与调研报告/本地原件/方案整合与实施路径/build/方案整合与实施路径.pdf,,asset_monthly_return | case_evidence | global_cycle_month,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0053,20260816_research_archive_v1,ACQUIRED,DOCUMENT_LOCAL,NOT_REQUIRED,SUPPLEMENT,内部,shared,02_方案演进与调研报告/本地原件/计划书/01_项目可行性研究与参赛方案书.pdf,,asset_monthly_return | case_evidence | global_cycle_month,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0054,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,02_方案演进与调研报告/本地原件/计划书/01_项目可行性研究与参赛方案书.tex,,asset_monthly_return | case_evidence | global_cycle_month,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0055,20260816_research_archive_v1,ACQUIRED,DOCUMENT_LOCAL,NOT_REQUIRED,SUPPLEMENT,内部,shared,02_方案演进与调研报告/本地原件/计划书/02_项目执行与协作手册.pdf,,asset_monthly_return | case_evidence | global_cycle_month,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0056,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,02_方案演进与调研报告/本地原件/计划书/02_项目执行与协作手册.tex,,asset_monthly_return | case_evidence | global_cycle_month,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0057,20260816_research_archive_v1,ACQUIRED,DOCUMENT_LOCAL,NOT_REQUIRED,SUPPLEMENT,内部,shared,02_方案演进与调研报告/本地原件/计划书/03_多币种流动性与黄金战略储备周期配置计划书.pdf,,asset_monthly_return | case_evidence | global_cycle_month,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0058,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,02_方案演进与调研报告/本地原件/计划书/03_多币种流动性与黄金战略储备周期配置计划书.tex,,asset_monthly_return | case_evidence | global_cycle_month,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0059,20260816_research_archive_v1,ACQUIRED,DOCUMENT_LOCAL,NOT_REQUIRED,SUPPLEMENT,内部,shared,02_方案演进与调研报告/本地原件/计划书/04_亚非拉国别风险与多币种储备智能决策平台总计划书.pdf,,source_registry | asset_monthly_return | case_evidence | global_cycle_month,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0060,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,02_方案演进与调研报告/本地原件/计划书/04_亚非拉国别风险与多币种储备智能决策平台总计划书.tex,,source_registry | asset_monthly_return | case_evidence | global_cycle_month,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0061,20260816_research_archive_v1,ACQUIRED,DOCUMENT_LOCAL,NOT_REQUIRED,SUPPLEMENT,内部,shared,02_方案演进与调研报告/本地原件/计划书/05_全球经济周期与亚非拉国别风险多币种储备智能决策平台总计划书.pdf,,source_registry | asset_monthly_return | case_evidence | global_cycle_month,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0062,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,02_方案演进与调研报告/本地原件/计划书/05_全球经济周期与亚非拉国别风险多币种储备智能决策平台总计划书.tex,,source_registry | asset_monthly_return | case_evidence | global_cycle_month,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0063,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,02_方案演进与调研报告/本地原件/计划书/飞书兼容_Mermaid_项目实施与数据采集全景图_预览.png,,asset_monthly_return | case_evidence | global_cycle_month,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0064,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,02_方案演进与调研报告/本地原件/计划书/飞书兼容_Mermaid_项目实施与数据采集全景图.mmd,,asset_monthly_return | case_evidence | global_cycle_month,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0065,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,02_方案演进与调研报告/本地原件/计划书/飞书兼容_Mermaid_项目实施与数据采集全景图.svg,,asset_monthly_return | case_evidence | global_cycle_month,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0066,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,02_方案演进与调研报告/本地原件/计划书/飞书兼容_Mermaid_V3.0_数据采集处理与Smartbi落地全流程_预览.png,,source_registry | asset_monthly_return | case_evidence | global_cycle_month,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0067,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,02_方案演进与调研报告/本地原件/计划书/飞书兼容_Mermaid_V3.0_数据采集处理与Smartbi落地全流程.mmd,,source_registry | asset_monthly_return | case_evidence | global_cycle_month,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0068,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,02_方案演进与调研报告/本地原件/计划书/飞书兼容_Mermaid_V3.0_数据采集处理与Smartbi落地全流程.svg,,source_registry | asset_monthly_return | case_evidence | global_cycle_month,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0069,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,02_方案演进与调研报告/本地原件/计划书/飞书兼容_Mermaid_V4.0_全球经济周期与系统性危机全流程_预览.png,,asset_monthly_return | case_evidence | global_cycle_month,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0070,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,02_方案演进与调研报告/本地原件/计划书/飞书兼容_Mermaid_V4.0_全球经济周期与系统性危机全流程.mmd,,asset_monthly_return | case_evidence | global_cycle_month,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0071,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,02_方案演进与调研报告/本地原件/计划书/飞书兼容_Mermaid_V4.0_全球经济周期与系统性危机全流程.svg,,asset_monthly_return | case_evidence | global_cycle_month,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0072,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,02_方案演进与调研报告/本地原件/计划书/planbook-style.tex,,asset_monthly_return | case_evidence | global_cycle_month,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0073,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,02_方案演进与调研报告/本地原件/计划书/references.bib,,asset_monthly_return | case_evidence | global_cycle_month,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0074,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,02_方案演进与调研报告/本地原件/跨国公司黄金硬通货需求调研报告.md,,asset_monthly_return | case_evidence | global_cycle_month,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0075,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,02_方案演进与调研报告/本地原件/命题可行性验证报告.md,,asset_monthly_return | case_evidence | global_cycle_month,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0076,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,02_方案演进与调研报告/本地原件/企业资产配置调研报告.md,,company_overseas_exposure | asset_monthly_return | case_evidence | global_cycle_month,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0077,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,01_比赛与项目基线/本地原件/生成评分标准表.mjs,,source_registry | case_evidence,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0078,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,02_方案演进与调研报告/本地原件/题意符合性评估报告.md,,asset_monthly_return | case_evidence | global_cycle_month,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0079,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,01_比赛与项目基线/本地原件/预览_硬性要求与评分标准.png,,source_registry | case_evidence,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0080,20260816_research_archive_v1,ACQUIRED,LOCAL_ASSET,NOT_REQUIRED,SUPPLEMENT,内部,shared,01_比赛与项目基线/本地原件/预览_整体流程.png,,source_registry | case_evidence,,按项目用途复核；不足以单独支持核心结论。,1
LCL-0081,20260816_research_archive_v1,NOT_ACQUIRED,NOT_ACQUIRED,FAILED,EXCLUDED,内部,metadata_only,,,source_registry | case_evidence,,仅保留元数据；正式分析改用许可允许的权威替代源。,0
LCL-0082,20260816_research_archive_v1,ACQUIRED,STRUCTURED_LOCAL,NOT_REQUIRED,SUPPLEMENT,内部,shared,10_数据集原件与说明/本地原件/最终数据/最终数据/outputs/019f56e7-91fe-7a43-b1d0-ae50e45c9d0c/黄金价格传导链因素与时序数据_20260724.xlsx,,asset_monthly_return | case_evidence,,按项目用途复核；不足以单独支持核心结论。,1
